True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year
16013.5,15955.219000000034,58.2809999999663,16013.5,15977.0,209.85000000000036,4,19,5
17445.9,17457.222250000013,-11.32225000001199,17445.9,17423.1,-142.15000000000146,3,42,10
11835.1,11834.529750000003,0.5702499999970314,11835.1,11786.25,-195.04999999999927,1,6,2
17086.9,17052.861999999983,34.038000000018656,17086.9,17073.35,35.69999999999709,2,17,4
7498.7,7456.636750000012,42.06324999998742,7498.7,7488.15,-26.200000000000728,4,10,3
7959.15,7974.196500000012,-15.046500000012202,7959.15,7959.85,-31.599999999999454,4,24,6
18062.85,18091.11349999999,-28.263499999990017,18062.85,18089.8,-46.20000000000073,1,52,12
8642.55,8605.49125000002,37.05874999998014,8642.55,8633.75,49.04999999999927,1,30,7
10599.6,10718.514500000001,-118.91450000000077,10599.6,10706.2,-21.849999999998545,3,29,7
10242.3,10258.911750000003,-16.611750000003667,10242.3,10278.15,38.25,2,43,10
8140.9,8141.1720000000005,-0.272000000000844,8140.9,8153.55,65.55000000000018,4,48,12
25565.75,25515.35024999997,50.3997500000296,25565.75,25487.05,42.04999999999927,3,38,9
17002.3,17103.807250000005,-101.50725000000602,17002.3,17044.1,-136.40000000000146,1,49,12
8905.35,8907.871999999998,-2.521999999997206,8905.35,8913.05,-7.700000000000728,5,9,2
11726.85,11767.865500000004,-41.01550000000316,11726.85,11748.0,-97.29999999999927,4,21,5
17556.45,17514.131750000048,42.31824999995297,17556.45,17485.7,-77.54999999999927,3,35,9
10744.1,10740.5285,3.5715000000000146,10744.1,10734.65,-38.649999999999636,2,25,6
22125.5,22096.249750000046,29.250249999953667,22125.5,22090.2,-104.0,1,9,2
7435.8,7438.285000000008,-2.485000000007858,7435.8,7436.1,-96.39999999999964,2,10,3
10666.5,10701.935999999998,-35.435999999997875,10666.5,10699.6,-142.14999999999964,4,34,8
19485.15,19413.073250000027,72.07674999997471,19485.15,19422.8,98.14999999999782,4,27,7
14701.8,14717.250500000013,-15.450500000013562,14701.8,14737.0,36.20000000000073,1,14,4
9455.75,9526.335250000002,-70.5852500000019,9455.75,9478.5,-46.45000000000073,4,26,6
12221.65,12212.596999999992,9.05300000000716,12221.65,12202.15,12.449999999998909,2,1,1
17574.25,17533.78250000004,40.46749999995882,17574.25,17525.45,-82.09999999999854,2,34,8
9151.05,9143.75650000001,7.293499999988853,9151.05,9135.35,-82.35000000000036,0,17,4
11873.9,11933.976249999983,-60.0762499999837,11873.9,11910.1,99.25,4,24,6
10543.05,10512.267749999985,30.782250000014756,10543.05,10526.55,-50.150000000001455,0,9,2
11321.8,11312.638999999994,9.161000000005515,11321.8,11317.45,9.150000000001455,3,34,8
8300.7,8301.349499999993,-0.6494999999922584,8300.7,8307.25,19.5,2,3,1
10501.85,10468.249500000005,33.60049999999501,10501.85,10462.3,-94.90000000000146,4,44,11
11741.65,11716.62299999999,25.02700000000914,11741.65,11722.6,12.700000000000728,4,18,5
8678.1,8692.252999999997,-14.15299999999661,8678.1,8698.05,96.0,4,16,4
17896.3,17861.365000000005,34.934999999994034,17896.3,17867.55,-86.15000000000146,0,41,10
11559.0,11541.61499999999,17.385000000009313,11559.0,11539.4,20.149999999999636,3,38,9
14108.7,14044.430499999995,64.26950000000579,14108.7,14075.15,-124.14999999999964,1,1,1
10937.85,10942.916250000017,-5.066250000016225,10937.85,10938.2,200.70000000000073,4,5,2
7700.75,7678.918499999991,21.831500000009328,7700.75,7690.65,137.69999999999982,0,37,9
11266.65,11300.929750000018,-34.279750000017884,11266.65,11289.0,-21.75,2,33,8
22679.05,22635.356000000025,43.69399999997404,22679.05,22679.65,91.90000000000146,1,18,4
11976.45,11977.915000000023,-1.4650000000219734,11976.45,12028.25,20.200000000000728,1,8,2
8390.25,8404.508250000014,-14.258250000013504,8390.25,8390.95,-27.75,0,3,1
8635.55,8653.36700000001,-17.81700000001001,8635.55,8657.3,49.0,2,43,10
17809.35,17793.055000000008,16.294999999990978,17809.35,17810.55,13.399999999997817,3,40,10
8424.4,8428.024249999986,-3.624249999986205,8424.4,8418.4,-12.800000000001091,3,3,1
16521.5,16437.90049999997,83.59950000002937,16521.5,16481.65,-155.75,3,22,6
7781.5,7803.093999999994,-21.593999999993684,7781.5,7788.8,-55.94999999999982,3,47,11
8478.9,8490.320499999996,-11.420499999996537,8478.9,8503.6,67.95000000000073,4,44,11
22798.1,22751.45250000001,46.64749999998821,22798.1,22762.75,56.95000000000073,2,22,5
13694.45,13713.23750000003,-18.787500000029468,13694.45,13713.55,-21.30000000000109,3,51,12
8905.75,8909.328499999992,-3.5784999999923457,8905.75,8915.5,-32.95000000000073,3,36,9
10078.3,10064.933000000025,13.366999999974723,10078.3,10062.35,-23.049999999999272,4,37,9
11584.65,11590.124,-5.47400000000016,11584.65,11596.65,-64.39999999999964,1,29,7
21714.0,21708.027249999992,5.972750000008091,21714.0,21716.7,473.65000000000146,1,4,1
22129.9,22136.175249999957,-6.275249999955122,22129.9,22126.5,-97.29999999999927,1,20,5
9822.95,9789.033749999979,33.916250000022046,9822.95,9814.3,31.349999999998545,4,39,9
19434.1,19399.37375000001,34.726249999988795,19434.1,19433.45,93.40000000000146,2,35,8
7012.85,7064.540499999994,-51.690499999993335,7012.85,7029.85,46.45000000000073,3,8,2
7570.8,7563.301750000004,7.4982499999960055,7570.8,7587.2,76.55000000000018,1,2,1
10886.05,10913.288499999975,-27.23849999997583,10886.05,10930.9,-83.70000000000073,0,40,10
9903.95,9881.497750000004,22.45224999999664,9903.95,9899.25,-15.899999999999636,2,36,9
18091.1,18106.282000000007,-15.182000000007974,18091.1,18127.05,162.70000000000073,1,46,11
18087.45,18082.871749999962,4.578250000038679,18087.45,18115.6,88.29999999999927,4,3,1
8586.6,8588.375250000006,-1.7752500000060536,8586.6,8615.4,172.39999999999964,0,17,4
10249.55,10238.96350000002,10.586499999979424,10249.55,10274.6,154.70000000000073,2,14,4
8751.75,8766.097500000013,-14.347500000012587,8751.75,8769.75,44.149999999999636,1,11,3
8591.45,8576.80474999999,14.645250000010492,8591.45,8591.55,40.599999999998545,0,13,3
22331.05,22343.089000000025,-12.039000000026135,22331.05,22334.45,0.75,1,11,3
7448.3,7447.297250000006,1.0027499999941938,7448.3,7459.75,-42.44999999999982,2,11,3
15827.1,15865.432249999998,-38.33224999999766,15827.1,15867.95,-13.099999999998545,0,10,3
7851.9,7823.793000000009,28.106999999990876,7851.9,7830.45,-32.05000000000018,2,52,12
11913.3,11868.063499999984,45.23650000001544,11913.3,11879.2,-33.54999999999927,0,46,11
8238.9,8213.327249999986,25.57275000001391,8238.9,8232.35,4.5,1,44,10
20933.8,20909.73224999999,24.067750000009255,20933.8,20950.75,14.849999999998545,2,49,12
10905.1,10888.70899999999,16.391000000010536,10905.1,10910.4,-125.39999999999964,4,39,9
11244.2,11174.424249999996,69.77575000000434,11244.2,11213.7,133.10000000000036,1,31,7
14651.5,14615.435999999998,36.064000000002125,14651.5,14668.35,-64.85000000000036,3,18,5
24383.8,24405.572500000057,-21.772500000057335,24383.8,24371.45,21.150000000001455,2,44,10
11712.9,11757.425000000005,-44.52500000000509,11712.9,11748.75,9.649999999999636,1,18,4
14489.65,14444.544250000019,45.10574999998062,14489.65,14473.8,-100.95000000000073,1,2,1
8942.75,8949.18775,-6.437749999999141,8942.75,8943.7,47.25,0,9,2
11592.0,11645.777750000003,-53.777750000002925,11592.0,11646.15,71.75,4,43,10
17990.0,17987.049249999996,2.950750000003609,17990.0,18008.05,142.20000000000073,4,1,1
8381.75,8392.685999999989,-10.93599999998878,8381.75,8399.4,59.54999999999927,2,26,6
11734.75,11747.997500000009,-13.247500000008586,11734.75,11731.95,-11.799999999999272,1,35,8
10110.05,10094.652250000006,15.397749999992811,10110.05,10107.4,20.399999999999636,3,37,9
8150.3,8153.6925,-3.3924999999999272,8150.3,8177.0,58.30000000000018,3,44,10
11677.55,11681.197,-3.647000000000844,11677.55,11694.75,15.200000000000728,3,35,8
7022.2,7051.284249999986,-29.08424999998624,7022.2,7039.3,3.350000000000364,4,8,2
11020.65,11017.078749999991,3.571250000008149,11020.65,11023.5,90.89999999999964,4,6,2
11123.65,11120.184249999984,3.4657500000157597,11123.65,11109.0,-24.149999999999636,1,30,7
16957.95,17029.5775,-71.62749999999869,16957.95,17066.6,63.14999999999782,0,12,3
8943.85,8920.582500000002,23.26749999999811,8943.85,8929.4,-8.350000000000364,3,10,3
22718.25,22626.141250000008,92.10874999999214,22718.25,22677.4,158.0,4,15,4
23609.7,23568.875999999942,40.82400000005873,23609.7,23661.15,208.0,4,25,6
9911.65,9905.19725,6.452750000000378,9911.65,9908.15,-5.5,0,29,7
7958.15,7981.908500000008,-23.758500000008098,7958.15,7976.65,52.399999999999636,2,49,12
10583.5,10549.68499999999,33.815000000009604,10583.5,10552.0,31.600000000000364,1,45,11
18101.85,18150.17150000001,-48.32150000001275,18101.85,18131.7,-75.39999999999782,0,1,1
19326.25,19282.28975000001,43.96024999998917,19326.25,19301.75,20.25,4,33,8
17946.0,17908.51599999999,37.48400000001129,17946.0,17922.8,-134.0,1,3,1
9615.85,9639.662999999993,-23.812999999992826,9615.85,9643.25,67.10000000000036,4,25,6
17431.3,17512.584750000024,-81.28475000002436,17431.3,17524.4,21.75,3,49,12
8511.55,8482.642750000012,28.90724999998747,8511.55,8499.45,-98.04999999999927,2,4,1
22275.9,22228.49749999996,47.40250000004016,22275.9,22255.6,45.19999999999709,2,20,5
18362.45,18355.03450000001,7.41549999999188,18362.45,18368.35,-123.55000000000291,4,21,5
11011.85,10955.49174999998,56.358250000021144,11011.85,10994.85,1.75,0,38,9
10324.4,10310.089750000016,14.31024999998408,10324.4,10324.55,49.79999999999927,4,46,11
8827.75,8844.305250000003,-16.55525000000307,8827.75,8844.75,109.25,2,16,4
17826.8,17877.381250000013,-50.581250000013824,17826.8,17906.45,173.0,1,39,9
17189.45,17120.4755,68.97450000000026,17189.45,17166.45,192.60000000000218,2,11,3
24622.5,24573.635750000038,48.86424999996234,24622.5,24615.9,14.80000000000291,1,29,7
7798.75,7843.490750000006,-44.7407500000063,7798.75,7857.8,130.15000000000055,2,36,9
9306.0,9312.87650000002,-6.8765000000203145,9306.0,9311.45,0.7000000000007276,0,19,5
17963.1,17920.785000000003,42.31499999999505,17963.1,17966.55,239.59999999999854,4,33,8
10965.7,10962.605249999988,3.0947500000129367,10965.7,10982.7,132.25,2,40,10
19326.2,19282.84300000001,43.35699999998906,19326.2,19297.4,53.10000000000218,4,34,8
15684.9,15750.106249999977,-65.20624999997744,15684.9,15761.55,46.899999999999636,2,30,7
10909.05,10884.942749999982,24.107250000017302,10909.05,10920.85,30.75,3,3,1
24677.5,24579.228000000006,98.27199999999357,24677.5,24680.55,-101.35000000000218,2,34,8
10159.65,10115.018,44.63199999999961,10159.65,10119.0,-135.04999999999927,4,25,6
11266.05,11181.290499999985,84.75950000001467,11266.05,11218.6,-67.14999999999964,2,37,9
17227.3,17156.629000000015,70.6709999999839,17227.3,17183.45,-2.349999999998545,0,16,4
